age,balance,day_of_week,duration,campaign,pdays,previous
1.606964958,0.256419252,-1.298476332,0.011016098,-0.569350638,-0.411453106,-0.251940371
0.288529271,-0.437894695,-1.298476332,-0.416126957,-0.569350638,-0.411453106,-0.251940371
-0.747384484,-0.44676247,-1.298476332,-0.707360859,-0.569350638,-0.411453106,-0.251940371
0.571051204,0.047205447,-1.298476332,-0.64523096,-0.569350638,-0.411453106,-0.251940371
-0.747384484,-0.447090906,-1.298476332,-0.233620379,-0.569350638,-0.411453106,-0.251940371
-0.559036528,-0.371550599,-1.298476332,-0.462724382,-0.569350638,-0.411453106,-0.251940371
-1.218254372,-0.300608399,-1.298476332,-0.159841124,-0.569350638,-0.411453106,-0.251940371
0.100181316,-0.44676247,-1.298476332,0.473107221,-0.569350638,-0.411453106,-0.251940371
1.606964958,-0.407678572,-1.298476332,-0.808321944,-0.569350638,-0.411453106,-0.251940371
0.194355293,-0.252656726,-1.298476332,-0.788906351,-0.569350638,-0.411453106,-0.251940371
0.006007338,-0.358741591,-1.298476332,-0.140425531,-0.569350638,-0.411453106,-0.251940371
-1.124080394,-0.319329257,-1.298476332,-0.470490619,-0.569350638,-0.411453106,-0.251940371
1.13609507,-0.445448725,-1.298476332,1.005094481,-0.569350638,-0.411453106,-0.251940371
1.606964958,-0.424100378,-1.298476332,-0.726776452,-0.569350638,-0.411453106,-0.251940371
1.512790981,-0.394212691,-1.298476332,-0.326815228,-0.569350638,-0.411453106,-0.251940371
0.947747115,-0.372207472,-1.298476332,0.368263017,-0.569350638,-0.411453106,-0.251940371
0.382703249,-0.443149672,-1.298476332,-0.621932248,-0.569350638,-0.411453106,-0.251940371
1.512790981,-0.430340664,-1.298476332,-0.854919369,-0.569350638,-0.411453106,-0.251940371
1.795312914,-0.427713175,-1.298476332,-0.152074887,-0.569350638,-0.411453106,-0.251940371
-0.747384484,-0.447419342,-1.298476332,-0.79278947,-0.569350638,-0.411453106,-0.251940371
-1.218254372,-0.209960031,-1.298476332,0.014899217,-0.569350638,-0.411453106,-0.251940371
1.418617003,-0.191567609,-1.298476332,-0.365646414,-0.569350638,-0.411453106,-0.251940371
-0.841558461,-0.439865311,-1.298476332,-0.381178889,-0.569350638,-0.411453106,-0.251940371
-1.500776305,-0.430997536,-1.298476332,0.325548711,-0.569350638,-0.411453106,-0.251940371
-0.08816664,-0.447419342,-1.298476332,-0.299633397,-0.569350638,-0.411453106,-0.251940371
0.288529271,-0.569597577,-1.298476332,-0.334581465,-0.569350638,-0.411453106,-0.251940371
-0.182340618,-0.363668133,-1.298476332,0.146925252,-0.569350638,-0.411453106,-0.251940371
